customer_id,customer_name,reg_date
1,Customer_1,2023-11-05
2,Customer_2,2024-01-04
3,Customer_3,2023-09-04
4,Customer_4,2023-08-06
5,Customer_5,2023-10-03
6,Customer_6,2024-12-04
7,Customer_7,2023-11-20
8,Customer_8,2023-01-27
9,Customer_9,2023-04-29
10,Customer_10,2024-03-25
11,Customer_11,2023-06-26
12,Customer_12,2023-12-08
13,Customer_13,2023-12-11
14,Customer_14,2024-01-11
15,Customer_15,2024-06-19
16,Customer_16,2023-05-27
17,Customer_17,2023-06-17
18,Customer_18,2024-12-02
19,Customer_19,2023-04-30
20,Customer_20,2024-11-19
21,Customer_21,2024-02-15
22,Customer_22,2024-09-30
23,Customer_23,2024-08-19
24,Customer_24,2024-04-09
25,Customer_25,2023-04-17
26,Customer_26,2024-11-17
27,Customer_27,2024-09-29
28,Customer_28,2023-12-23
29,Customer_29,2023-11-14
30,Customer_30,2024-09-11
31,Customer_31,2023-11-22
32,Customer_32,2024-08-06
33,Customer_33,2023-07-24
34,Customer_34,2023-11-19
35,Customer_35,2023-06-05
36,Customer_36,2024-12-02
37,Customer_37,2023-10-25
38,Customer_38,2023-10-08
39,Customer_39,2023-11-19
40,Customer_40,2023-11-16
41,Customer_41,2024-05-08
42,Customer_42,2024-08-29
43,Customer_43,2023-06-05
44,Customer_44,2024-10-22
45,Customer_45,2024-08-25
46,Customer_46,2023-09-07
47,Customer_47,2023-03-21
48,Customer_48,2024-06-01
49,Customer_49,2023-05-07
50,Customer_50,2024-10-20
51,Customer_51,2024-12-31
52,Customer_52,2023-02-13
53,Customer_53,2023-05-10
54,Customer_54,2024-01-20
55,Customer_55,2023-02-18
56,Customer_56,2024-01-28
57,Customer_57,2024-06-13
58,Customer_58,2024-12-11
59,Customer_59,2024-03-07
60,Customer_60,2024-07-12
61,Customer_61,2023-05-05
62,Customer_62,2023-03-17
63,Customer_63,2024-11-14
64,Customer_64,2023-11-02
65,Customer_65,2024-05-15
66,Customer_66,2024-06-02
67,Customer_67,2023-09-29
68,Customer_68,2024-01-28
69,Customer_69,2024-12-23
70,Customer_70,2024-11-01
71,Customer_71,2024-01-29
72,Customer_72,2023-08-08
73,Customer_73,2024-12-01
74,Customer_74,2024-01-22
75,Customer_75,2024-05-29
76,Customer_76,2024-03-09
77,Customer_77,2024-04-26
78,Customer_78,2023-03-04
79,Customer_79,2024-03-01
80,Customer_80,2023-12-19
81,Customer_81,2023-04-10
82,Customer_82,2024-10-19
83,Customer_83,2023-09-14
84,Customer_84,2024-02-27
85,Customer_85,2024-04-01
86,Customer_86,2023-10-31
87,Customer_87,2023-08-14
88,Customer_88,2024-02-22
89,Customer_89,2024-03-15
90,Customer_90,2024-12-27
91,Customer_91,2024-03-20
92,Customer_92,2024-12-19
93,Customer_93,2024-04-15
94,Customer_94,2023-03-26
95,Customer_95,2023-04-07
96,Customer_96,2023-04-14
97,Customer_97,2023-02-21
98,Customer_98,2023-02-09
99,Customer_99,2024-03-14
100,Customer_100,2023-05-12
101,Customer_101,2023-04-23
102,Customer_102,2024-11-23
103,Customer_103,2023-04-24
104,Customer_104,2024-11-18
105,Customer_105,2023-11-14
106,Customer_106,2024-04-21
107,Customer_107,2024-09-23
108,Customer_108,2024-07-12
109,Customer_109,2024-05-12
110,Customer_110,2024-09-30
111,Customer_111,2024-04-03
112,Customer_112,2023-03-28
113,Customer_113,2024-12-11
114,Customer_114,2023-06-22
115,Customer_115,2023-08-03
116,Customer_116,2024-01-08
117,Customer_117,2023-12-13
118,Customer_118,2024-08-05
119,Customer_119,2024-08-20
120,Customer_120,2024-09-14
121,Customer_121,2024-05-15
122,Customer_122,2023-03-01
123,Customer_123,2023-12-06
124,Customer_124,2024-02-28
125,Customer_125,2024-04-15
126,Customer_126,2023-07-14
127,Customer_127,2024-02-10
128,Customer_128,2024-06-10
129,Customer_129,2024-09-11
130,Customer_130,2023-06-06
131,Customer_131,2023-09-12
132,Customer_132,2023-04-30
133,Customer_133,2024-03-07
134,Customer_134,2023-11-20
135,Customer_135,2023-12-22
136,Customer_136,2024-07-15
137,Customer_137,2023-10-07
138,Customer_138,2024-08-08
139,Customer_139,2023-04-24
140,Customer_140,2023-04-24
141,Customer_141,2024-06-23
142,Customer_142,2023-05-13
143,Customer_143,2024-04-13
144,Customer_144,2023-07-21
145,Customer_145,2024-01-15
146,Customer_146,2023-09-14
147,Customer_147,2024-01-22
148,Customer_148,2024-11-10
149,Customer_149,2023-05-21
150,Customer_150,2023-02-12
151,Customer_151,2023-06-22
152,Customer_152,2023-03-13
153,Customer_153,2023-12-28
154,Customer_154,2023-01-17
155,Customer_155,2024-07-26
156,Customer_156,2023-09-29
157,Customer_157,2023-02-25
158,Customer_158,2024-06-05
159,Customer_159,2024-02-01
160,Customer_160,2023-04-01
161,Customer_161,2023-08-14
162,Customer_162,2024-12-26
163,Customer_163,2024-07-22
164,Customer_164,2024-12-14
165,Customer_165,2024-04-25
166,Customer_166,2024-02-09
167,Customer_167,2023-03-28
168,Customer_168,2023-09-30
169,Customer_169,2024-11-09
170,Customer_170,2023-02-08
171,Customer_171,2024-08-11
172,Customer_172,2023-10-04
173,Customer_173,2023-05-03
174,Customer_174,2023-05-18
